Symbol,CompanyName,Year,Revenue,GrossProfit,NetProfit,OperatingProfit,TotalAssets,CurrentAssets,Debt,ShortTermDebt,Equity,EPS,BVPS,PE,ROS,ROEA,ROAA
NS2,CTCP Nước sạch Số 2 Hà Nội,2022,473809.0,218409.0,14161,-5479,1294665,190976,712219,166134,582447,249,10249,28.08,2.99,2.43,1.08
NS2,CTCP Nước sạch Số 2 Hà Nội,2023,552277.0,240465.0,15013,-4553,1437338,234207,854051,204539,583288,264,10264,26.48,2.72,2.58,1.1
NS2,CTCP Nước sạch Số 2 Hà Nội,2024,739806.0,357217.0,19384,2569,1556425,284369,968781,232818,587645,341,10341,52.16,2.62,3.31,1.29
NS2,CTCP Nước sạch Số 2 Hà Nội,2025,773747.0,380047.0,20335,25438,1638632,287535,1050056,234309,588575,358,10358,42.46,2.63,3.46,1.27
VCW,CTCP Đầu tư Nước sạch Sông Đà,2021,524968.0,276730.0,198675,209461,2278836,652381,915126,272833,1363710,2649,18183,15.14,37.85,15.7,9.69
VCW,CTCP Đầu tư Nước sạch Sông Đà,2022,548915.0,289188.0,201411,212147,2902884,424682,1562763,473122,1340122,2685,17868,16.38,36.69,14.9,7.77
VCW,CTCP Đầu tư Nước sạch Sông Đà,2023,573503.0,181984.0,34045,39069,3677370,252766,2378203,192787,1299166,454,17322,66.09,5.94,2.58,1.03
VCW,CTCP Đầu tư Nước sạch Sông Đà,2024,594400.0,143879.0,-92583,-85280,3867704,389040,2661120,283976,1206584,-1234,16088,-25.11,-15.58,-7.39,-2.45
BSC,CTCP Dịch vụ Bến Thành,2022,7388.0,5130.0,1871,2150,40695,29049,2743,2203,37952,594,12045,21.9,25.32,4.95,4.61
BSC,CTCP Dịch vụ Bến Thành,2023,7706.0,5503.0,2665,3396,41792,29920,3031,2468,38761,846,12302,14.19,34.58,6.95,6.46
BSC,CTCP Dịch vụ Bến Thành,2024,11151.0,5964.0,2161,2772,43384,25845,2755,2168,40630,686,12895,21.28,19.38,5.44,5.07
BSC,CTCP Dịch vụ Bến Thành,2025,16984.0,6707.0,2791,3561,43968,28994,3957,3373,40010,886,12699,13.89,16.43,6.92,6.39
ATB,CTCP An Thịnh,2021,92.0,43.0,-77284,-76982,126543,61517,83500,80500,43043,-5566,3100,-0.45,-84295.4,-94.61,-47.13
ATB,CTCP An Thịnh,2022,0.0,0.0,-4479,-4435,123948,103027,85384,82384,38564,-323,2778,-3.1,0.0,-10.98,-3.58
ATB,CTCP An Thịnh,2023,0.0,0.0,-3753,-3340,116914,96742,82099,78449,34815,-270,2508,-2.22,0.0,-10.23,-3.12
ATB,CTCP An Thịnh,2024,0.0,0.0,-3944,-3528,117446,98000,86575,82925,30871,-284,2224,-2.11,0.0,-12.01,-3.37
KWA,CTCP Cấp thoát nước và Môi trường Kiến Tường,2014,74213.0,21262.0,15124,19581,61159,42545,34132,32974,27027,7941,14191,0.0,20.38,59.98,29.37
KWA,CTCP Cấp thoát nước và Môi trường Kiến Tường,2022,72124.0,13946.0,9252,11438,85558,34005,28045,24923,57513,2435,15135,0.0,12.83,32.18,21.63
KWA,CTCP Cấp thoát nước và Môi trường Kiến Tường,2023,70622.0,15091.0,9262,11546,88075,41172,28704,25800,59371,2437,15624,0.0,13.11,15.85,10.67
KWA,CTCP Cấp thoát nước và Môi trường Kiến Tường,2024,80581.0,16434.0,9979,12528,100397,44527,28315,25501,72082,2626,18969,5.94,12.38,15.18,10.59
BBC,CTCP Bibica,2022,1612663.0,476671.0,192917,73444,1850378,694738,487056,472466,1363321,10309,72700,5.22,11.96,16.45,11.06
BBC,CTCP Bibica,2023,1487690.0,496548.0,96162,104644,2327791,1242220,915458,900371,1412332,5128,75314,9.77,6.46,6.93,4.6
